Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 1
5/23/2022 3:18:18 PM
Wavelength (nm),Absorbance
352.00,0.028988
351.00,0.029026
350.00,0.028004
349.00,0.027546
348.00,0.028147
347.00,0.027776
346.00,0.027091
345.00,0.026877
344.00,0.026944
343.00,0.027861
342.00,0.026722
341.00,0.025836
340.00,0.026389
339.00,0.025699
338.00,0.026487
337.00,0.025755
336.00,0.024896
335.00,0.024877
334.00,0.024979
333.00,0.024552
332.00,0.025031
331.00,0.026078
330.00,0.026076
329.00,0.025585
328.00,0.026994
327.00,0.025020
326.00,0.024860
325.00,0.024441
324.00,0.025643
323.00,0.025551
322.00,0.025908
321.00,0.025222
320.00,0.025732
319.00,0.025634
318.00,0.025990
317.00,0.027194
316.00,0.028101
315.00,0.030140
314.00,0.029690
313.00,0.032179
312.00,0.035423
311.00,0.037721
310.00,0.040630
309.00,0.044920
308.00,0.049007
307.00,0.053566
306.00,0.058188
305.00,0.061635
304.00,0.068147
303.00,0.071990
302.00,0.075754
301.00,0.077901
300.00,0.081451
299.00,0.085115
298.00,0.085435
297.00,0.088490
296.00,0.090345
295.00,0.089831
294.00,0.090501
293.00,0.091178
292.00,0.091089
291.00,0.090719
290.00,0.092464
289.00,0.089908
288.00,0.089552
287.00,0.089102
286.00,0.086103
285.00,0.084566
284.00,0.081741
283.00,0.080657
282.00,0.079377
281.00,0.077005
280.00,0.075001
279.00,0.074420
278.00,0.071288
277.00,0.071507
276.00,0.070137
275.00,0.068883
274.00,0.069461
273.00,0.070572
272.00,0.068391
271.00,0.069235
270.00,0.072306
269.00,0.071529
268.00,0.073507
267.00,0.076442
266.00,0.078651
265.00,0.082477
264.00,0.087039
263.00,0.092326
262.00,0.101012
261.00,0.109727
260.00,0.118470
259.00,0.130283
258.00,0.141618
257.00,0.155480
256.00,0.174145
255.00,0.192684
254.00,0.213993
253.00,0.237074
252.00,0.258119
251.00,0.279620
250.00,0.303255
249.00,0.323962
248.00,0.343549
247.00,0.362128
246.00,0.374071
245.00,0.387860
244.00,0.399199
243.00,0.407590
242.00,0.414283
241.00,0.421159
240.00,0.425056
239.00,0.427536
238.00,0.431077
237.00,0.433561
236.00,0.435931
235.00,0.437258
234.00,0.438079
233.00,0.438281
232.00,0.439070
231.00,0.439216
230.00,0.440622
229.00,0.441412
228.00,0.441733
227.00,0.443171
226.00,0.445959
225.00,0.448119
224.00,0.453927
223.00,0.461149
222.00,0.469155
221.00,0.481940
220.00,0.497920
219.00,0.517970
218.00,0.547565
217.00,0.583176
216.00,0.622449
215.00,0.680246
214.00,0.751326
213.00,0.835599
212.00,0.944343
211.00,1.082268
210.00,1.223013
209.00,1.428757
208.00,1.656837
207.00,1.888361
206.00,2.180974
205.00,2.449141
204.00,2.607159
