Sample1, Cycle 1
5/15/2022 9:44:14 AM
Wavelength (nm),Absorbance
363.00,0.033587
362.00,0.033504
361.00,0.032828
360.00,0.032393
359.00,0.031531
358.00,0.030277
357.00,0.029555
356.00,0.028955
355.00,0.029689
354.00,0.028216
353.00,0.028618
352.00,0.027694
351.00,0.027359
350.00,0.026447
349.00,0.026932
348.00,0.026017
347.00,0.026463
346.00,0.025864
345.00,0.025033
344.00,0.024848
343.00,0.025486
342.00,0.025293
341.00,0.024927
340.00,0.025027
339.00,0.025178
338.00,0.026548
337.00,0.025747
336.00,0.027739
335.00,0.026573
334.00,0.028160
333.00,0.028287
332.00,0.029361
331.00,0.030107
330.00,0.031014
329.00,0.031654
328.00,0.033881
327.00,0.034748
326.00,0.037557
325.00,0.038422
324.00,0.039758
323.00,0.041539
322.00,0.044641
321.00,0.046935
320.00,0.049558
319.00,0.052522
318.00,0.055396
317.00,0.059033
316.00,0.063068
315.00,0.068420
314.00,0.072818
313.00,0.079026
312.00,0.086993
311.00,0.094781
310.00,0.102542
309.00,0.111379
308.00,0.120368
307.00,0.130720
306.00,0.142691
305.00,0.155146
304.00,0.165914
303.00,0.178171
302.00,0.190519
301.00,0.201871
300.00,0.214991
299.00,0.228388
298.00,0.239238
297.00,0.252823
296.00,0.266425
295.00,0.280022
294.00,0.294392
293.00,0.307483
292.00,0.323184
291.00,0.340771
290.00,0.354386
289.00,0.373063
288.00,0.391842
287.00,0.409839
286.00,0.428592
285.00,0.449213
284.00,0.470079
283.00,0.494322
282.00,0.517555
281.00,0.539292
280.00,0.566418
279.00,0.594719
278.00,0.621423
277.00,0.652911
276.00,0.687040
275.00,0.715708
274.00,0.752426
273.00,0.788515
272.00,0.823300
271.00,0.862562
270.00,0.907226
269.00,0.946872
268.00,0.992295
267.00,1.041130
266.00,1.085700
265.00,1.141666
264.00,1.197486
263.00,1.247251
262.00,1.309345
261.00,1.374446
260.00,1.438737
259.00,1.503514
258.00,1.573839
257.00,1.644902
256.00,1.722815
255.00,1.802159
254.00,1.887821
253.00,1.984826
252.00,2.068757
251.00,2.150034
250.00,2.241847
249.00,2.335113
248.00,2.430449
247.00,2.531406
246.00,2.595309
245.00,2.679394
244.00,2.744854
243.00,2.838894
242.00,2.921430
241.00,3.003359
240.00,3.051576
239.00,3.111421
238.00,3.185658
237.00,3.288068
236.00,3.298421
235.00,3.444253
234.00,3.499834
233.00,3.540914
232.00,3.584522
231.00,3.665061
230.00,3.867543
229.00,3.809435
228.00,3.962280
227.00,4.054367
226.00,4.012631
225.00,3.645717
224.00,3.964872
223.00,4.764224
222.00,3.834044
221.00,3.993006
220.00,3.618045
219.00,4.374469
218.00,4.604074
217.00,4.150194
216.00,3.635428
215.00,3.524199
214.00,3.611625
213.00,3.428584
212.00,4.075960
211.00,3.253313
210.00,NaN
209.00,3.492966
208.00,4.074153
207.00,3.188262
206.00,3.666163
205.00,3.750656
204.00,3.448710
203.00,3.576074
202.00,NaN
201.00,3.733762
200.00,3.898516
199.00,3.367700
198.00,3.458158
197.00,2.992483
196.00,3.271956
195.00,3.201231
194.00,NaN
193.00,3.042004
192.00,3.116891
191.00,3.183122
190.00,2.721821


Sample1, Cycle 2
5/15/2022 10:15:02 AM
Wavelength (nm),Absorbance
700.00,-0.001864
699.00,-0.001920
698.00,-0.002351
697.00,-0.000360
696.00,-0.001927
695.00,-0.001366
694.00,-0.002289
693.00,-0.001774
692.00,-0.001984
691.00,-0.001923
690.00,-0.003012
689.00,-0.002172
688.00,-0.001225
687.00,-0.001449
686.00,-0.001586
685.00,-0.001962
684.00,-0.001174
683.00,-0.001256
682.00,-0.001951
681.00,-0.002324
680.00,-0.001879
679.00,-0.001410
678.00,-0.000527
677.00,-0.002641
676.00,-0.001409
675.00,-0.001328
674.00,-0.001826
673.00,-0.001278
672.00,-0.002149
671.00,-0.002121
670.00,-0.002003
669.00,-0.001755
668.00,-0.002149
667.00,-0.001463
666.00,-0.002267
665.00,-0.002538
664.00,-0.001886
663.00,-0.002360
662.00,-0.000697
661.00,-0.001543
660.00,-0.002661
659.00,-0.002179
658.00,-0.001317
657.00,-0.001840
656.00,-0.001648
655.00,-0.002175
654.00,-0.002203
653.00,-0.001663
652.00,-0.001616
651.00,-0.001473
650.00,-0.001304
649.00,-0.002270
648.00,-0.000804
647.00,-0.002058
646.00,-0.002897
645.00,-0.001339
644.00,-0.001863
643.00,-0.000857
642.00,-0.001489
641.00,-0.001288
640.00,-0.001613
639.00,-0.000496
638.00,-0.001520
637.00,-0.001347
636.00,-0.000955
635.00,-0.002836
634.00,-0.001791
633.00,-0.001282
632.00,-0.000926
631.00,-0.001162
630.00,-0.001606
629.00,-0.001141
628.00,-0.001530
627.00,-0.000807
626.00,-0.002003
625.00,-0.001261
624.00,-0.001739
623.00,-0.002134
622.00,-0.002233
621.00,-0.001827
620.00,-0.002527
619.00,-0.002151
618.00,-0.001862
617.00,-0.000864
616.00,-0.001541
615.00,-0.002300
614.00,-0.001704
613.00,-0.002118
612.00,-0.001735
611.00,-0.001368
610.00,-0.001590
609.00,-0.001379
608.00,-0.000844
607.00,-0.001059
606.00,-0.001302
605.00,-0.001199
604.00,-0.001250
603.00,-0.001374
602.00,-0.000396
601.00,-0.001623
600.00,-0.001246
599.00,-0.000142
598.00,-0.001503
597.00,-0.001368
596.00,-0.001442
595.00,-0.001547
594.00,-0.001295
593.00,-0.001127
592.00,-0.000202
591.00,-0.000292
590.00,-0.001057
589.00,-0.000467
588.00,-0.000019
587.00,-0.000454
586.00,-0.001011
585.00,-0.000156
584.00,0.000394
583.00,-0.000482
582.00,-0.000025
581.00,-0.000723
580.00,-0.000074
579.00,0.000041
578.00,-0.000098
577.00,-0.000857
576.00,0.000463
575.00,0.000090
574.00,0.000353
573.00,0.000569
572.00,0.000190
571.00,-0.000429
570.00,0.001257
569.00,0.000496
568.00,0.001076
567.00,0.000827
566.00,0.000381
565.00,0.000371
564.00,0.001187
563.00,0.001322
562.00,0.002062
561.00,0.002081
560.00,0.001720
559.00,0.000992
558.00,0.002233
557.00,0.001964
556.00,0.002104
555.00,0.002848
554.00,0.003357
553.00,0.002587
552.00,0.002409
551.00,0.002763
550.00,0.003620
549.00,0.004064
548.00,0.004077
547.00,0.004203
546.00,0.004312
545.00,0.004353
544.00,0.004624
543.00,0.004969
542.00,0.005035
541.00,0.005446
540.00,0.005607
539.00,0.006099
538.00,0.006253
537.00,0.006306
536.00,0.006680
535.00,0.006631
534.00,0.006549
533.00,0.007205
532.00,0.007748
531.00,0.007544
530.00,0.008477
529.00,0.008407
528.00,0.008668
527.00,0.009190
526.00,0.009254
525.00,0.009545
524.00,0.009726
523.00,0.010416
522.00,0.010654
521.00,0.011241
520.00,0.011585
519.00,0.011538
518.00,0.012161
517.00,0.012149
516.00,0.012644
515.00,0.013544
514.00,0.013052
513.00,0.013674
512.00,0.014454
511.00,0.015062
510.00,0.015754
509.00,0.015390
508.00,0.015823
507.00,0.015310
